Month,route,Predicted_Ridership_2019,Ridership_2018,Classification,Accuracy_of_Prediction
July,3,440332,438230,Almost Same,98.02376083492992
August,3,426639,425307,Almost Same,98.5909454188154
September,3,437412,448073,Almost Same,97.99746261239878
Ocotber,3,461374,490167,Almost Same,98.1945211490305
November,3,406057,418467,Almost Same,97.21685637769696
December,3,401988,389644,Almost Same,96.79660614756158
July,4,515089,509974,Almost Same,99.64974343384094
August,4,503984,518099,Almost Same,98.78064191811971
September,4,508184,527520,Almost Same,98.62781766402304
Ocotber,4,526622,571569,Almost Same,98.54248354132339
November,4,468840,499498,Almost Same,98.61243445503821
December,4,464214,479460,Almost Same,98.9536402423854
July,8,489265,457086,Almost Same,99.06344733195367
August,8,511661,487282,Almost Same,99.09959755906087
September,8,581640,551674,Almost Same,99.91602885303672
Ocotber,8,620907,620303,Almost Same,99.88539928696295
November,8,555762,543987,Almost Same,99.79971997885933
December,8,481444,460794,Almost Same,99.29703526895652
July,12,315431,311431,Almost Same,94.27009436595911
August,12,320179,320891,Almost Same,95.87876411548145
September,12,343583,336948,Almost Same,96.00911339541719
Ocotber,12,363973,366561,Almost Same,96.55469692189781
November,12,329447,321951,Almost Same,95.0228727049151
December,12,312613,300882,Almost Same,94.28166905644383
July,20,406145,408988,Almost Same,98.49554533179192
August,20,403895,420643,Almost Same,98.42435477825161
September,20,415113,419425,Almost Same,98.7031853827527
Ocotber,20,443441,470934,Almost Same,98.95549249144263
November,20,401789,410309,Almost Same,98.16692548617215
December,20,398064,401428,Almost Same,98.1165475050903
July,21,248824,238095,Almost Same,94.13604296050838
August,21,258714,249559,Almost Same,95.18778228690883
September,21,255348,248013,Almost Same,95.19646558370933
Ocotber,21,264803,263522,Almost Same,95.6006191630785
November,21,233816,223454,Almost Same,93.48267027643821
December,21,232680,216631,Almost Same,93.47671019770347
July,22,464006,441939,Almost Same,99.03811981507995
August,22,461814,446676,Almost Same,99.86528726275428
September,22,447373,427436,Almost Same,99.58873968201954
Ocotber,22,469341,460392,Almost Same,99.65451893589308
November,22,429839,418988,Almost Same,98.59512328395326
December,22,438946,422844,Almost Same,98.70640750202112
July,27,132506,142729,Almost Same,97.2925875344484
August,27,129961,143055,Almost Same,97.30965127618192
September,27,140246,154552,Almost Same,97.25304190243722
Ocotber,27,126598,143101,Slight Decrease,97.59109428404773
November,27,126556,136358,Almost Same,97.57759601242152
December,27,117717,139562,Slight Decrease,97.45845402000451
July,29,339360,324005,Almost Same,96.76226054630578
August,29,325218,313386,Almost Same,96.18236180346129
September,29,330052,311092,Almost Same,95.89106857091187
Ocotber,29,326706,321321,Almost Same,96.1451247165533
November,29,285514,274632,Almost Same,94.91290327160226
December,29,285883,272428,Almost Same,94.90493135759729
July,36,354919,346763,Almost Same,97.46165560086799
August,36,342275,341702,Almost Same,98.64607714612008
September,36,339800,323344,Almost Same,97.980628929307
Ocotber,36,356678,345666,Almost Same,98.19581305979466
November,36,332740,324364,Almost Same,97.84446102315185
December,36,331435,327554,Almost Same,97.53217991632846
July,49B,162951,137312,Slight Decrease,85.85798141562282
August,49B,162616,140850,Slight Decrease,86.07684460341702
September,49B,163811,143182,Slight Decrease,86.01726420758402
